PILOT_FLY_OPS,OTH_FLT_FLY_OPS,TRAIN_FLY_OPS,PERS_EXP_FLY_OPS,PRO_FLY_OPS,INTERCHG_FLY_OPS,FUEL_FLY_OPS,OIL_FLY_OPS,RENTAL_FLY_OPS,OTHER_FLY_OPS,INS_FLY_OPS,BENEFITS_FLY_OPS,INCIDENT_FLY_OPS,PAY_TAX_FLY_OPS,OTH_TAX_FLY_OPS,OTHER_EXP_FLY_OPS,TOT_FLY_OPS,AIRFRAME_LABOR,ENGINE_LABOR,AIRFRAME_REPAIR,ENGINE_REPAIRS,INTERCHG_CHARG,AIRFRAME_MATERIALS,ENGINE_MATERIALS,AIRFRAME_ALLOW,AIRFRAME_OVERHAULS,ENGINE_ALLOW,ENGINE_OVERHAULS,TOT_DIR_MAINT,AP_MT_BURDEN,TOT_FLT_MAINT_MEMO,NET_OBSOL_PARTS,AIRFRAME_DEP,ENGINE_DEP,PARTS_DEP,ENG_PARTS_DEP,OTH_FLT_EQUIP_DEP,OTH_FLT_EQUIP_DEP_GRP_I,FLT_EQUIP_A_EXP,FLY_OPS_EXP_I_A,TOT_AIR_OP_EXPENSES,DEV_N_PREOP_EXP,OTH_INTANGIBLES,EQUIP_N_HANGAR_DEP,G_PROP_DEP,CAP_LEASES_DEP,TOTAL_AIR_HOURS,AIR_DAYS_ASSIGN,AIR_FUELS_ISSUED,AIRCRAFT_CONFIG,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
3064.42,,278.80,350.67,,,11606.91,,0.05,,,793.09,-2.33,149.51,13.26,,16254.37,150.53,0.20,451.40,818.55,,449.22,-55.08,,,,,1814.81,511.62,2326.43,151.95,823.90,366.54,37.72,65.06,,,,,20025.96,,,,,,2.32,0.19,4112.75,1,6,624,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10876,L,3,3,2024,2
3082.74,0.00,513.36,1092.54,0.00,0.00,7468.58,66.36,0.00,0.00,466.85,138.60,0.00,142.61,0.00,0.00,12971.64,1186.60,0.00,123.59,0.00,0.00,464.12,0.00,0.00,0.00,0.00,0.00,1774.31,0.00,1774.31,0.00,2752.99,1163.32,748.35,0.00,0.00,,0.00,,19410.61,,,,,,1.63,0.74,4180.77,2,7,740,21629,KD,Western Global,KD,Western Global,11042,I,2,2,2024,4
3092.37,0.00,192.80,0.00,0.00,,9301.19,18.55,2192.79,0.00,252.93,235.69,0.00,205.15,0.00,0.00,15491.47,1291.94,0.00,0.00,0.00,,1866.84,415.44,0.00,0.00,0.00,0.00,3574.22,0.00,3574.22,0.00,0.00,0.00,160.73,0.00,137.18,,0.00,,19363.60,,,,,,3.49,0.67,2966.10,1,6,614,20207,XP,TEM Enterprises dba  Avelo Airlines,XP,TEM Enterprises dba  Avelo Airlines,06144,D,2,2,2024,1
3129.08,,329.92,381.89,,,9021.80,,1.70,,,807.59,-2.87,152.24,10.86,,13832.19,154.85,0.20,342.31,-2.19,,498.88,-55.17,,,,,938.88,529.37,1468.25,15.94,1318.05,297.63,3.43,44.42,,,,,16979.90,,,,,,1.78,0.12,3265.56,1,6,889,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10876,L,3,3,2024,2
3129.61,0.00,301.65,1277.08,0.00,0.00,11970.31,64.79,1477.50,0.00,455.83,160.45,0.00,153.58,0.00,0.00,18990.80,1158.59,0.00,360.04,0.00,0.00,453.16,0.00,0.00,0.00,0.00,0.00,1971.79,0.00,1971.79,0.00,2688.00,1135.85,730.68,0.00,0.00,,0.00,,25517.13,,,,,,1.59,0.36,5480.33,2,8,820,21629,KD,Western Global,KD,Western Global,11042,I,2,2,2024,4
3146.24,0.00,0.00,120.66,1.83,,4292.30,8.45,217.52,1.99,45.85,893.84,0.00,306.51,168.77,-17.33,9186.61,666.14,0.00,1410.21,0.00,,613.59,4338.20,0.00,,0.00,,7028.14,797.33,7825.48,,533.06,112.47,35.24,,,,12.87,,17705.73,,,,,,1.28,0.66,1514.81,2,6,622,19917,5X,United Parcel Service,5X,United Parcel Service,16912,L,3,3,2024,1
3177.18,98.18,770.88,1581.16,66.74,0.00,18540.88,0.00,5257.14,37.65,118.12,389.24,0.00,275.68,0.00,0.00,30312.85,2044.87,10.31,1338.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3394.05,1446.33,4840.38,0.00,0.00,0.00,0.00,0.00,991.78,,0.00,,36145.00,,,,,,1.84,0.27,4399.77,1,6,627,20377,X9,Omni Air International LLC,X9,Omni Air International LLC,16736,I,2,2,2024,1
3186.55,0.00,560.17,403.38,0.00,0.00,0.00,0.00,1492.90,0.00,0.00,198.83,0.00,326.43,0.00,0.00,6168.26,601.15,18.59,565.34,0.00,0.00,137.65,46.75,0.00,0.00,0.00,927.96,2297.43,780.93,3078.36,56.84,0.00,0.00,0.17,0.00,0.00,,0.00,,9303.63,,,,,,3.13,1.30,2073.35,1,6,673,20398,MQ,Envoy Air,MQ,Envoy Air,16820,L,3,3,2024,1
3206.76,0.00,139.32,427.71,0.00,0.00,5.69,0.00,3.20,10.73,12.44,380.28,0.00,196.55,143.18,51.73,4577.59,717.61,0.00,404.89,1317.39,0.00,457.93,78.21,0.00,0.00,0.00,0.00,2976.02,626.86,3602.88,0.00,0.00,68.19,93.09,0.00,68.40,,0.00,,8410.15,,,,,,4.84,0.74,2960.17,1,6,673,20304,OO,SkyWest Airlines Inc.,OO,SkyWest Airlines Inc.,11025,L,3,3,2024,4
3217.32,,329.42,363.90,,,7559.32,,0.45,,,827.89,-0.17,75.51,3.25,,12376.88,193.61,0.25,469.04,14.10,,509.28,33.59,,,,,1219.86,597.62,1817.48,18.26,1358.93,307.58,6.98,47.07,,,,,15933.17,,,,,,1.81,0.13,3283.68,1,6,889,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10876,L,3,3,2024,4
