PILOT_FLY_OPS,OTH_FLT_FLY_OPS,TRAIN_FLY_OPS,PERS_EXP_FLY_OPS,PRO_FLY_OPS,INTERCHG_FLY_OPS,FUEL_FLY_OPS,OIL_FLY_OPS,RENTAL_FLY_OPS,OTHER_FLY_OPS,INS_FLY_OPS,BENEFITS_FLY_OPS,INCIDENT_FLY_OPS,PAY_TAX_FLY_OPS,OTH_TAX_FLY_OPS,OTHER_EXP_FLY_OPS,TOT_FLY_OPS,AIRFRAME_LABOR,ENGINE_LABOR,AIRFRAME_REPAIR,ENGINE_REPAIRS,INTERCHG_CHARG,AIRFRAME_MATERIALS,ENGINE_MATERIALS,AIRFRAME_ALLOW,AIRFRAME_OVERHAULS,ENGINE_ALLOW,ENGINE_OVERHAULS,TOT_DIR_MAINT,AP_MT_BURDEN,TOT_FLT_MAINT_MEMO,NET_OBSOL_PARTS,AIRFRAME_DEP,ENGINE_DEP,PARTS_DEP,ENG_PARTS_DEP,OTH_FLT_EQUIP_DEP,OTH_FLT_EQUIP_DEP_GRP_I,FLT_EQUIP_A_EXP,FLY_OPS_EXP_I_A,TOT_AIR_OP_EXPENSES,DEV_N_PREOP_EXP,OTH_INTANGIBLES,EQUIP_N_HANGAR_DEP,G_PROP_DEP,CAP_LEASES_DEP,TOTAL_AIR_HOURS,AIR_DAYS_ASSIGN,AIR_FUELS_ISSUED,AIRCRAFT_CONFIG,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
2803.37,,233.82,328.97,,,7472.94,,4.65,,8.76,743.08,-0.16,142.22,32.36,,11770.00,139.17,0.54,323.66,2058.89,,722.95,38.89,,,,,3284.10,433.67,3717.77,85.78,533.79,201.18,22.20,52.71,,,2.80,,16386.23,,,,,,1.55,0.12,3269.81,1,6,624,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10876,L,3,3,2025,2
2812.00,0.00,290.00,499.00,99.00,,1899.00,,0.00,5.00,9.00,0.00,,151.00,87.00,2179.00,8030.00,2114.00,235.00,33.00,140.00,,-24.00,0.00,436.00,,216.00,,3150.00,4036.00,7186.00,,98.00,206.00,58.00,5.00,,,,,15583.00,,,,,,0.31,0.14,820.79,2,7,740,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16196,A,3,3,2025,4
2863.18,,236.94,304.90,,,17951.83,,87.78,,7.81,754.64,56.73,251.31,370.38,,22885.50,207.75,0.71,6920.25,328.83,,1063.10,41.15,,,,,8561.79,563.58,9125.37,45.18,495.23,401.23,3.32,37.79,,,24.61,,33018.24,,,,,,7.88,0.98,6730.19,1,6,614,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10877,P,3,3,2025,1
2878.00,0.00,43.00,190.00,0.00,0.00,5152.00,0.00,227.00,0.00,32.00,637.00,0.00,100.00,0.00,5.00,9264.00,154.00,69.00,176.00,550.00,0.00,286.00,98.00,0.00,0.00,0.00,0.00,1333.00,531.00,1864.00,20.00,408.00,236.00,3.00,24.00,0.00,,28.00,0.00,11847.00,,,,,,1.36,0.11,2302.18,1,6,626,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10262,P,3,3,2025,3
2892.65,0.00,0.00,146.17,991.93,,2163.73,0.00,609.43,88.93,68.98,352.61,0.00,109.43,0.00,936.21,8360.06,1359.39,0.00,719.04,1267.43,,346.27,0.00,0.00,0.00,0.00,0.00,3692.13,391.99,4084.12,0.00,1443.58,330.19,289.48,19.97,29.50,,0.00,,14556.89,,,,,,0.86,0.19,757.33,2,6,617,20108,NC,Northern Air Cargo Inc.,NC,Northern Air Cargo Inc.,06721,D,2,2,2025,4
2895.08,0.00,21.48,52.31,9.93,0.00,4503.99,0.00,2545.98,0.01,73.09,618.74,0.00,225.29,209.77,0.00,11155.67,590.93,0.00,238.39,5.86,0.00,168.24,361.08,0.00,0.00,0.00,0.00,1364.50,0.00,1364.50,0.00,309.16,68.94,12.71,0.00,0.00,,346.43,,13257.41,,,,,,2.31,0.35,2421.46,1,6,699,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,16831,L,3,3,2025,2
2909.54,59.73,81.19,741.65,134.89,0.00,103.26,0.00,962.37,3.47,114.53,883.67,0.00,285.91,0.00,0.00,6280.21,2923.26,0.00,1170.46,712.91,0.00,1776.82,138.10,0.00,0.00,0.00,0.00,6721.55,0.00,6721.55,0.00,351.40,553.55,0.00,45.99,0.00,,0.00,0.00,13952.70,,,,,,2.56,0.65,4374.83,2,6,625,20453,ABX,ABX Air Inc,ABX,ABX Air Inc,80006,D,2,2,2025,2
2917.78,0.00,353.64,1078.93,0.00,0.00,6487.00,-11.13,0.00,0.00,392.70,143.93,0.00,187.89,0.00,25.48,11576.22,939.03,0.00,252.08,0.00,0.00,591.05,0.00,0.00,0.00,0.00,0.00,1782.17,0.00,1782.17,0.00,1505.80,768.37,625.12,0.00,0.00,,0.00,,16257.68,,,,,,1.05,1.51,2441.93,2,7,740,21629,KD,Western Global,KD,Western Global,11042,I,2,2,2025,2
2918.01,0.00,186.20,1010.35,0.00,0.00,13147.56,25.31,1305.00,0.00,569.66,67.15,0.00,209.18,0.00,0.00,19438.42,1303.44,0.00,404.65,0.00,0.00,800.46,0.00,0.00,0.00,0.00,0.00,2508.55,0.00,2508.55,0.00,3156.90,1371.86,891.62,0.00,0.00,,0.00,,27367.35,,,,,,1.37,0.34,4598.70,2,8,820,21629,KD,Western Global,KD,Western Global,11042,I,2,2,2025,1
2931.49,27.26,204.81,3365.07,2.91,0.00,6237.55,0.00,2492.00,183.14,82.03,530.89,0.00,124.57,0.00,0.00,16181.70,1135.93,7.27,1087.17,0.00,0.00,0.00,0.00,0.00,0.00,397.06,0.00,2627.43,973.97,3601.41,0.00,0.00,0.00,0.00,0.00,646.09,,0.00,,20429.19,,,,,,1.05,0.26,2473.28,1,6,627,20377,X9,Omni Air International LLC,X9,Omni Air International LLC,16736,I,2,2,2025,4
